source,target,mode_of_regulation,weight
ADA2,MTHFD2L,1,1
ADA2,MTIF2,1,1
ADA2,MTMR4,1,1
ADA2,MTMR9,1,1
ADA2,MTOR,1,1
ADA2,MTR,1,1
ADA2,MTRF1,1,1
ADA2,MYBL1,1,1
ADA2,NAA20,1,1
ADA2,NAT8L,1,1
ADA2,NAV3,1,1
ADA2,NCAPD2,1,1
ADA2,NCOA2,1,1
ADA2,NDOR1,1,1
ADA2,NDUFA11,1,1
ADA2,NDUFA12,1,1
ADA2,NDUFAF1,1,1
ADA2,NDUFAF4P1,1,1
ADA2,NDUFB3,1,1
ADA2,NDUFC2,1,1
ADA2,NDUFC2-KCTD14,1,1
ADA2,NDUFS3,1,1
ADA2,NDUFS7,1,1
ADA2,NELFA,1,1
ADA2,NELFB,1,1
ADA2,NEU3,1,1
ADA2,NFAT5,1,1
ADA2,NFIA,1,1
ADA2,NFKBIL1,1,1
ADA2,NFYB,1,1
ADA2,NICOL1,1,1
ADA2,NIF3L1,1,1
ADA2,NIPBL,1,1
ADA2,NKAP,1,1
ADA2,NKAPD1,1,1
ADA2,NKAPP1,1,1
ADA2,NME1,1,1
ADA2,NME1-NME2,1,1
ADA2,NMNAT1,1,1
ADA2,NOL12,1,1
ADA2,NOL8,1,1
ADA2,NOP16,1,1
ADA2,NOP2,1,1
ADA2,NORAD,1,1
ADA2,NOSIP,1,1
ADA2,NOXA1,1,1
ADA2,NPAS3,1,1
ADA2,NPLOC4,1,1
ADA2,NR1H2,1,1
ADA2,NR1H3,1,1
ADA2,NR2F1,1,1
ADA2,NR2F1-AS1,1,1
ADA2,NR2F2,1,1
ADA2,NREP,1,1
ADA2,NRN1,1,1
ADA2,NSA2,1,1
ADA2,NSFL1C,1,1
ADA2,NSL1,1,1
ADA2,NSUN4,1,1
ADA2,NUDCD3,1,1
ADA2,NUDT5,1,1
ADA2,NUF2,1,1
ADA2,NUMBL,1,1
ADA2,NUP107,1,1
ADA2,NUP107-DT,1,1
ADA2,NUP153,1,1
ADA2,NUP54,1,1
ADA2,NXN,1,1
ADA2,NXT2,1,1
ADA2,OGFOD2,1,1
ADA2,OPA1,1,1
ADA2,OSGEP,1,1
ADA2,OTUD7B,1,1
ADA2,P3H4,1,1
ADA2,PATJ,1,1
ADA2,PAXBP1,1,1
ADA2,PCED1A,1,1
ADA2,PCID2,1,1
ADA2,PCLAF,1,1
ADA2,PCYT1A,1,1
ADA2,PDCD2,1,1
ADA2,PDCD6,1,1
ADA2,PDCD6-DT,1,1
ADA2,PDCD6IP,1,1
ADA2,PDE6D,1,1
ADA2,PDGFB,1,1
ADA2,PDXK,1,1
ADA2,PEMT,1,1
ADA2,PER1,1,1
ADA2,PEX13,1,1
ADA2,PEX3,1,1
ADA2,PFKM,1,1
ADA2,PGAM5,1,1
ADA2,PGK1,1,1
ADA2,PHB2,1,1
ADA2,PHF20,1,1
ADA2,PHF21A,1,1
ADA2,PHKA2,1,1
ADA2,PIGC,1,1
ADA2,PIGL,1,1
ADA2,PIGQ,1,1
ADA2,PIH1D2,1,1
ADA2,PLEKHA1,1,1
ADA2,PLEKHG3,1,1
ADA2,PLEKHM3,1,1
ADA2,PLPP6,1,1
ADA2,PMS2P4,1,1
ADA2,POC1B,1,1
ADA2,POLR1B,1,1
ADA2,POLR1C,1,1
ADA2,POLR3B,1,1
ADA2,PPID,1,1
ADA2,PPIEL,1,1
ADA2,PPIL3,1,1
ADA2,PPIL6,1,1
ADA2,PPIP5K2,1,1
ADA2,PPP1R11,1,1
ADA2,PPP1R9B,1,1
ADA2,PPP2R2A,1,1
ADA2,PPP2R3C,1,1
ADA2,PRDM6,1,1
ADA2,PRDM6-AS1,1,1
ADA2,PRORP,1,1
ADA2,PROX1,1,1
ADA2,PROX1-AS1,1,1
ADA2,PRPF18,1,1
ADA2,PRRG2,1,1
ADA2,PRSS27,1,1
ADA2,PSCA,1,1
ADA2,PSMC2,1,1
ADA2,PSMD11,1,1
ADA2,PSMF1,1,1
ADA2,PSMG3,1,1
ADA2,PSMG3-AS1,1,1
ADA2,PSTK,1,1
ADA2,PTK2B,1,1
ADA2,PTPN21,1,1
ADA2,PUM1,1,1
ADA2,PUS10,1,1
ADA2,PXK,1,1
ADA2,PYURF,1,1
ADA2,RAB18,1,1
ADA2,RAP2C,1,1
ADA2,RAP2C-AS1,1,1
ADA2,RBBP5,1,1
ADA2,RBBP9,1,1
ADA2,RBM28,1,1
ADA2,RBM3,1,1
ADA2,RESF1,1,1
ADA2,REXO4,1,1
ADA2,RFC4,1,1
ADA2,RFX3,1,1
ADA2,RFX3-DT,1,1
ADA2,RFXANK,1,1
ADA2,RGS5,1,1
ADA2,RHOXF1P1,1,1
ADA2,RHOXF1P2,1,1
ADA2,RNA5SP283,1,1
ADA2,RNF123,1,1
ADA2,RNF185,1,1
ADA2,RNF220,1,1
ADA2,RNF6,1,1
ADA2,RNFT2,1,1
ADA2,RNPS1,1,1
ADA2,RNU6-1,1,1
ADA2,RNU6-1145P,1,1
ADA2,RNU6ATAC,1,1
ADA2,RNU7-27P,1,1
ADA2,RPL11,1,1
ADA2,RPL13,1,1
ADA2,RPL18,1,1
ADA2,RPL23AP53,1,1
ADA2,RPL27,1,1
ADA2,RPL27A,1,1
ADA2,RPL29,1,1
